scenario,run_id,query_id,query_text,retrieved_count,retrieved_items
S1,2,1,Strategies for reducing AWS RDS costs,0,[]
S1,2,2,Strategies for RDS cost reduction,5,"[{'memory': 'Company cost optimization policy: Always prioritize non-production environments first when reducing costs', 'category': 'policy', 'canonical_id': 'Company cost optimization policy: Always prioritize non-production environments first when reducing costs'}, {'memory': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries', 'category': 'dependency', 'canonical_id': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'Instance type: db.t3.medium', 'category': 'metadata', 'canonical_id': 'dev-db-1: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}]"
S1,2,3,Dependencies for prod-db-primary,5,"[{'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-replica serves as read replica for prod-db-primary', 'category': 'dependency', 'canonical_id': 'prod-db-replica serves as read replica for prod-db-primary, handling read traffic to distribute load'}, {'memory': 'Development environment: dev-db-1', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'Development environment: dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}]"
S1,2,4,Dependencies for prod-db-replica,5,"[{'memory': 'prod-db-replica serves as read replica for prod-db-primary', 'category': 'dependency', 'canonical_id': 'prod-db-replica serves as read replica for prod-db-primary, handling read traffic to distribute load'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries', 'category': 'dependency', 'canonical_id': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries'}, {'memory': 'Development environment: dev-db-1', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}]"
S1,2,5,Criticality level for dev-db-1,5,"[{'memory': 'Development environment: dev-db-1', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'Development environment: dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Criticality: low', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development instances are dev-db-2', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}]"
S1,2,6,Criticality level for dev-db-2,5,"[{'memory': 'Development environment: dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development environment: dev-db-1', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'Criticality: low', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development instances are dev-db-2', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}]"
S1,2,7,Criticality level for dev-db-3,5,"[{'memory': 'Development environment: dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development environment: dev-db-1', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'Criticality: low', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development instances are dev-db-2', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}]"
S1,3,1,metadata for prod-db-primary,5,"[{'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-replica: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries', 'category': 'dependency', 'canonical_id': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries'}, {'memory': 'Development environment is dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}]"
S1,3,2,metadata for prod-db-replica,5,"[{'memory': 'prod-db-replica: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries', 'category': 'dependency', 'canonical_id': 'Terminating prod-db-replica would eliminate high availability for prod-db-primary and overload it with all read queries'}, {'memory': 'db.t3.medium instance type', 'category': 'metadata', 'canonical_id': 'dev-db-1: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}]"
S1,3,3,metadata for dev-db-1,5,"[{'memory': 'Development environment is dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development instances are dev-db-1, dev-db-2, dev-db-3', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-replica: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}]"
S1,3,4,metadata for dev-db-2,5,"[{'memory': 'Development environment is dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development instances are dev-db-1, dev-db-2, dev-db-3', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-replica: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}]"
S1,3,5,metadata for dev-db-3,5,"[{'memory': 'Development environment is dev-db-3', 'category': 'metadata', 'canonical_id': 'dev-db-3: development environment, low criticality, no uptime SLA, db.t3.medium instance type, $150/month cost'}, {'memory': 'Development instances are dev-db-1, dev-db-2, dev-db-3', 'category': 'dependency', 'canonical_id': 'Development instances (dev-db-1, dev-db-2, dev-db-3) are independent with no production dependencies'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-replica: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}]"
S1,3,6,Are there policies or recommendations about resizing production RDS instances?,0,[]
S1,3,7,What are the policies for optimizing production RDS costs?,5,"[{'memory': 'Company cost optimization policy: Always prioritize non-production environments first when reducing costs', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'Company cost optimization policy: Always prioritize non-production environments first when reducing costs', 'category': 'policy', 'canonical_id': 'Company cost optimization policy: Always prioritize non-production environments first when reducing costs'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-primary: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-primary: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}, {'memory': 'prod-db-replica: production environment', 'category': 'metadata', 'canonical_id': 'prod-db-replica: production environment, high criticality, 99.99% uptime SLA requirement, db.r5.2xlarge instance type, $1200/month cost'}]"
S2,1,1,HIPAA compliance,0,[]
S2,1,2,security policies related to public S3 bucket access,5,"[{'memory': 'Application dependency: disaster_recovery requires s3:GetObject and s3:ListBucket permissions on patient-data-backup', 'category': 'security_policy', 'canonical_id': 'Application dependency: disaster_recovery requires s3:GetObject and s3:ListBucket permissions on patient-data-backup'}, {'memory': 'Application dependency: backup_service requires s3:PutObject and s3:GetObject permissions on patient-data-backup', 'category': 'security_policy', 'canonical_id': 'Application dependency: backup_service requires s3:PutObject and s3:GetObject permissions on patient-data-backup'}, {'memory': 'Company policy: All PHI storage must have access logging enabled for audit purposes', 'category': 'security_policy', 'canonical_id': 'Company policy: All PHI storage must have access logging enabled for audit purposes'}, {'memory': 'Application dependency: backup_service accesses patient-data-backup bucket daily at 2 AM UTC for automated backups', 'category': 'security_policy', 'canonical_id': 'Application dependency: backup_service accesses patient-data-backup bucket daily at 2 AM UTC for automated backups'}, {'memory': 'Security policy: All security incidents must be logged with full details including timeline, actions, and impact', 'category': 'security_policy', 'canonical_id': 'Security policy: All security incidents must be logged with full details including timeline, actions, and impact'}]"
S2,2,1,HIPAA compliance,0,[]
S2,2,2,security policies and compliance requirements for PHI data,5,"[{'memory': 'HIPAA compliance requirement: Access controls required for all PHI data', 'category': 'security_policy', 'canonical_id': 'HIPAA compliance requirement: Access controls required for all PHI data'}, {'memory': 'HIPAA compliance requirement: Encryption required in transit and at rest for PHI', 'category': 'security_policy', 'canonical_id': 'HIPAA compliance requirement: Encryption required in transit and at rest for PHI'}, {'memory': 'Company policy: All PHI storage must have access logging enabled for audit purposes', 'category': 'security_policy', 'canonical_id': 'Company policy: All PHI storage must have access logging enabled for audit purposes'}, {'memory': 'HIPAA compliance requirement: Audit logging required for all PHI access', 'category': 'security_policy', 'canonical_id': 'HIPAA compliance requirement: Audit logging required for all PHI access'}, {'memory': 'Bucket patient-data-backup is subject to HIPAA and SOC2 compliance requirements', 'category': 'security_policy', 'canonical_id': 'Bucket patient-data-backup is subject to HIPAA and SOC2 compliance requirements'}]"
S2,3,1,HIPAA compliance,0,[]
S2,3,2,security policies related to public access and compliance requirements for patient data,5,"[{'memory': 'HIPAA compliance requirement: Access controls required for all PHI data', 'category': 'security_policy', 'canonical_id': 'HIPAA compliance requirement: Access controls required for all PHI data'}, {'memory': 'Bucket patient-data-backup is subject to HIPAA and SOC2 compliance requirements', 'category': 'security_policy', 'canonical_id': 'Bucket patient-data-backup is subject to HIPAA and SOC2 compliance requirements'}, {'memory': 'Company policy: All PHI (Protected Health Information) must be encrypted at rest and in transit', 'category': 'security_policy', 'canonical_id': 'Company policy: All PHI (Protected Health Information) must be encrypted at rest and in transit'}, {'memory': 'Bucket patient-data-backup contains PHI data classified as production environment', 'category': 'security_policy', 'canonical_id': 'Bucket patient-data-backup contains PHI data classified as production environment'}, {'memory': 'HIPAA compliance requirement: Audit logging required for all PHI access', 'category': 'security_policy', 'canonical_id': 'HIPAA compliance requirement: Audit logging required for all PHI access'}]"
S3,1,1,performance baseline,0,[]
S3,1,2,baseline performance metrics for payment-service,5,"[{'memory': 'Payment-service baseline performance: avg_response_time=1.5s', 'category': 'baseline', 'canonical_id': 'payment-service baseline performance: avg_response_time=1.5s, p95_response_time=2.1s, p99_response_time=3.2s, error_rate=0.8%, cpu_avg=45%, memory_avg=65%, throughput=1000 requests/minute'}, {'memory': 'Payment-service performance thresholds: response_time degradation > 30% triggers alert', 'category': 'baseline', 'canonical_id': 'payment-service performance thresholds: response_time degradation > 30% triggers alert, error_rate > 2% triggers investigation, CPU > 80% requires analysis'}, {'memory': 'Infrastructure scaling of payment-service', 'category': 'change', 'canonical_id': 'Change CHG-2024-0108-007 at 2024-01-08T16:30:00Z: infrastructure_scaling of payment-service by devops@company.com - Scaled from 2 to 3 instances (added i-abc125) for proactive capacity increase'}, {'memory': 'prod-payment-db baseline metrics: cpu_utilization=30-40%', 'category': 'baseline', 'canonical_id': 'prod-payment-db baseline metrics: cpu_utilization=30-40%, active_connections=40-60, connection_utilization=8-12%, query_latency_avg=50ms'}, {'memory': 'Payment-service infrastructure runs on 3 m5.xlarge EC2 instances (i-abc123, i-abc124, i-abc125)', 'category': 'infrastructure', 'canonical_id': 'payment-service infrastructure: runs on 3 m5.xlarge EC2 instances (i-abc123, i-abc124, i-abc125) in subnet 10.0.2.0/24, uses security group sg-app-tier, deployed in us-east-1'}]"
S3,1,3,recent configuration changes to payment-service or networking,5,"[{'memory': 'Most recent change was security configuration', 'category': 'change', 'canonical_id': 'Timeline of recent changes: Jan 8 (scaling), Jan 10 (code deployment v2.3.1), Jan 15 08:15 AM (security group modification) - most recent change was security configuration'}, {'memory': 'Routine bug fixes for payment validation', 'category': 'change', 'canonical_id': 'Change CHG-2024-0110-003 at 2024-01-10T14:00:00Z: code_deployment of payment-service v2.3.1 by ci-cd-pipeline - Routine bug fixes for payment validation and updated logging configuration, no performance changes expected'}, {'memory': 'Infrastructure scaling of payment-service', 'category': 'change', 'canonical_id': 'Change CHG-2024-0108-007 at 2024-01-08T16:30:00Z: infrastructure_scaling of payment-service by devops@company.com - Scaled from 2 to 3 instances (added i-abc125) for proactive capacity increase'}, {'memory': 'Subnet details for payment-service: application instances run in app_tier subnet 10.0.2.0/24 in availability zone us-east-1b', 'category': 'topology', 'canonical_id': 'Subnet details for payment-service: application instances run in app_tier subnet 10.0.2.0/24 in availability zone us-east-1b, uses public route table for internet access'}, {'memory': 'Payment service uses connection pooling', 'category': 'infrastructure', 'canonical_id': 'payment-service uses connection pooling with 3 retry attempts per database operation, timeout=10 seconds per attempt, total operation timeout=30 seconds'}]"
S3,2,1,performance baseline,1,"[{'memory': 'prod-payment-db baseline metrics: cpu_utilization=30-40%', 'category': 'baseline', 'canonical_id': 'prod-payment-db baseline metrics: cpu_utilization=30-40%, active_connections=40-60, connection_utilization=8-12%, query_latency_avg=50ms'}]"
